source	immutability_class	forensic_occurrences	operational_occurrences	candidate_targets	root_basename_occurrences	qualified_suffix_occurrences	source_sha256_at_base
archive/udt_matter_source_MAP_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	udt_field_equations_derivation_results.md	2	0	e00217c655f338f81510245d1f2f20bc9a922d50884c08d6ffe7eb2d6132333e
archive/udt_max_distance_invariance_FRAME.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	udt_canonical_geometry.md	1	0	8825239fa2832fdf713214996889a62893684a47e4d0d243e61b80657fce9d10
archive/udt_native_phi_law_MAP_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	aea9ce5875610d5670abb1f658b054b52368095c3ba6d6d0ee2161d6df8d7999
archive/udt_validated_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	50	50	CLAUDE.md;HANDOFF.md;udt_canonical_geometry.md	39	11	84c832d6cd612e3fc5af08a6a2033f45e7cfb2f7da2ff171f9ac4fed9f9c256a
archive/udt_xmax_boost_derivation_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	udt_canonical_geometry.md	1	0	1b61891833e8334342e30a446d0c4579beefb8291570afe77a0bc4c40452d0f9
archive/w6_flux_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	NEGATIVES_REGISTRY.md;w_alg_results.md	2	0	00afb1985ed59f91fa4d237e56ebca569c4a78c7c4ff7b62e5bfb17f4dafd580
archive/w8_catalog_problem.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	11	11	CANON.md;CLAUDE.md;STATE.md;exterior_cavity_results.md;lepton_ladder_falsification_contract.md;sourced_second_jet_results.md;w6_results.md	11	0	852bcbada2eb47cfd054e769df3ad9e41dda794198bc119f7684715f609ed777
archive/w_stiffness_push_declaration.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	CLAUDE.md;lepton_ladder_falsification_contract.md;nonstationary_opener_results.md;w5_results.md	6	0	45ac571dae1a69f6d26f43658b00a2b38d94d4885b61196e4e072107b7f5716f
archive/whole_metric_solve_3D_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	native_stabilizer_results.md	2	0	d19b7a690db4b026f759355e4b9b12c2b45553fe12d8e6a58303f378060595e7
archive/whole_metric_solve_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	b0bd7949537cf0d8af84875c771ba0d51b26c071647d195929cda35bffa9e5e8
branchP_solver_floor_xcontinuation_results.md	HARD_FROZEN_SOURCE	1	1	LIVE.md	1	0	a4149d38764478eec07be0f5922c53f09f8405779a560b8a43e4e754bcdf0d30
branch_operator.py	RUNTIME_OR_MANIFEST_IMMUTABLE	4	4	matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md;relativistic_metric_rederivation_results.md	4	0	390ac17177153e18c6203ddfaa17e833c93f57045798bbcbdbb97e8ffe1a0864
branch_operator_contamination_ledger.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	9	9	INDEX.md;P5e_proper_results.md;branchP_solver_floor_xcontinuation_results.md;kap8_characterization_complete_solver_results.md;matter_regrade_derived_operator_results.md;p2_matter_fullmetric_results.md;p3_aphi_FIX_results.md;p3_aphi_coupling_results.md;p4_time_live_results.md	9	0	bdd4988ab7cafea2ab33c1c89aae1d2dc8861fcaf0a963e2c7288434f00f8a30
codex_rehearsal_final.md	HARD_FROZEN_SOURCE	2	2	LIVE.md	1	1	698e71c3efbe9b32e1b64a711ffdea2a63ab43285f6adeaa110fc62ccf3ca170
codex_rehearsal_transcript.txt	HARD_FROZEN_SOURCE	82	82	CANON.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;CROSS_MODEL_VERIFY.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;dimension_ladder_null_audit.md	81	1	9fbdee8aa123a12ee08860d65a0b3712a5f0e23897a97762ba9596573eb0a669
cognitive_corral_triggers_results.md	HARD_FROZEN_SOURCE	9	9	CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;LIVE.md	9	0	9097e7400521ca4309c5ce5c7a21171398545545eee3265617ffffe1512f1a7c
cosine_native_reconciliation_results.md	HARD_FROZEN_SOURCE	1	1	LIVE.md	1	0	4f632b5b4558902b887daa028b4d738b14eab37fcb3e2d644bcb325c023018ed
d1_angular_constants_native_rederivation.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	13	13	F2_closure_results.md;F2_matter_action_forcedness_results.md;MATTER_SECTOR_MAP_new_foundation.md;dimension_ladder_null_audit.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md;seal_junction_condition_results.md;udt_canonical_geometry.md;udt_field_equations_derivation_results.md	13	0	889a2050c3342770e925b10a55eacf0c6dde6b189d9ba49ede9a494128d61991
d1_charge_channel_projection_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	angular_lagrangian_results.md;negative_phi_native_geometry.md;particle_spectrum_native_geometry.md	6	0	07a0fdbaf365ab29942d62a989a6c59f61688e7770eb032e4492d0ab0195383f
d1_rederive_q13.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	negative_phi_native_geometry.md	1	0	44b0865fea21653b5331cb7de280052b7889db37bd298f8c498400bfd2cc7d2b
derived_background_and_phi_coupling_DESIGN.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	CLAUDE.md;udt_canonical_geometry.md	5	0	de41d149af9ee7447af05a4ff958549a95c85f83acdae003cf2186593cec6c18
dimension_ladder_null_audit.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	mass_emergence_canonical_geometry.md;particle_spectrum_native_geometry.md	3	0	a802f4577c9cc5ff50e226c4e95d52480a05d2f46f15920469f6992372b626c5
export_for_local_llm.py	RUNTIME_OR_MANIFEST_IMMUTABLE	10	10	CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;LIVE.md	10	0	ede4c829d6601ce4b7f5cacf87377150a5f80610b168be6df3aa76fbe7b12d19
exterior_cavity_results.md	HARD_FROZEN_SOURCE	2	2	n_derivation_results.md;weld_interface_mode_results.md	2	0	a5ef2553242d6f94a91d4654b2f4a9b36f65629f65c90cd25b8a73aca60d7e10
galerkin_basis.py	RUNTIME_OR_MANIFEST_IMMUTABLE	3	3	D1_FIX_DESIGN.md;LIVE.md	3	0	be48ec6be1a87cb674a678e18e1380334ee9986ffd80e2885a6370c1bfdf975e
grok/README.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md	1	1	f5956fb0bd479960eebc73c489d54c582309fe954135fd02d9a909c92c0fd939
grok/quarantine_free_DA/macro_sector_fork_resolution.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	AUDIT.md;CANON.md;open_domain_discreteness_results.md;udt_canonical_geometry.md	5	0	307a3a08dacf769c45416015d1c22436164fb679c6ff3f3d3f333de555eb4e72
i_flow_hbar_clock_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	CANON.md;F4_seal_boundary_MAP.md;angular_lagrangian_results.md;p4_time_live_results.md;relativistic_metric_rederivation_results.md	6	0	4cd35e4c94bd660855ff18f5bd653b4610c79694d6cac8b68c0003bd3a086b59
legacy/root_oneoffs_2026-07-01/angular_lagrangian_derive.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	exterior_cavity_results.md	1	0	f2ad314dfbdf6ce9da1cf4d0650dc62c593a5b692b40da0bf82f60047c038966
legacy/root_oneoffs_2026-07-01/coupled_cell_soliton_B1.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	angular_lagrangian_results.md	1	0	50b4584d468c4de493122f2a2985c3e16db4d20a673c7b1ea40db7c479df7a2f
legacy/root_oneoffs_2026-07-01/coupled_cell_soliton_B2.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	angular_lagrangian_results.md	1	0	1725d0bcbff0d8ded842523e798a51937c02970acb3c593161397a4ed3d24aab
legacy/root_oneoffs_2026-07-01/dpf2_derive.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	exterior_cavity_results.md	1	0	2e663b093f46058e56ecc1dc9781840c3ccab636aa695e768905bd2a69955d0f
legacy/root_oneoffs_2026-07-01/dpf2_junction.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w6_results.md	1	0	8fec7a05d3b808a901047778f42684aa05e78f7fd551fa1f4a37c0fef00ba73a
legacy/root_oneoffs_2026-07-01/fourth_component_adversary.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	8e3e23f94d40894560a8736977f25928a20f4b933a6096e7e46536a015bf03ba
legacy/root_oneoffs_2026-07-01/fourth_component_sourced_check.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	c69168ee90768a4a2da355bd16a47d7b2bd7688e6888a605c81053ec68af0693
legacy/root_oneoffs_2026-07-01/gravity_local_c1_vs_fphiR.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	udt_gravity_sector_rederivation_results.md	1	0	44d08b18c2cb4b3a708b8da20eb7ed79a036ee46afacd9f6df5b19e4168ae702
legacy/root_oneoffs_2026-07-01/gravity_sector_variation.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	udt_field_equations_derivation_results.md	1	0	801ecbcdb46aa56c2880ac350ba9b2daeb241599e2209b0e36ddf0956e931bd7
legacy/root_oneoffs_2026-07-01/hopf_spinor.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	5b7900cd1dc83602935b6613d3ebe50a7b450688c655a9cd23b1c5f8d5985359
legacy/root_oneoffs_2026-07-01/matter_ansatz_derive.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	24e3b9a6f81980d008726a6c4e70a8e086e53480b42c068418cf6cdb3c313a3b
legacy/root_oneoffs_2026-07-01/monodromy_depth_probe.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	ab183f350d6c313d46907f49d07118c52ebefd69d86244fb9a4428277928fe65
legacy/root_oneoffs_2026-07-01/n3_direction_iso_inertia.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	45fd3acc005f4aec60d04cfc359bda8a042672e4046cd502d1344630ad5b1e94
legacy/root_oneoffs_2026-07-01/n3_split_characterize.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	d248456e8424b386dec5de82b4e8f3994c7c753df7c0d8454ce435150f61dd6d
legacy/root_oneoffs_2026-07-01/native_catalog_phase1_topology.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	0e9562fcbb4a83d08f0d09359d25f51db25266fa5a70fe42b75df891fcac3c6d
legacy/root_oneoffs_2026-07-01/native_catalog_phase2_derrick.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	adb49816b56d55d34bf451a87ce30922ebd2a5ac436d85c39c0727e7236ea379
legacy/root_oneoffs_2026-07-01/native_lepton_ladder_frozen_test.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	lepton_ladder_falsification_contract.md	2	0	be0f9cf24ca8091ef3fdc0f91dc0a5f909cc0a297227da3d24f2921146b1802e
legacy/root_oneoffs_2026-07-01/native_matter_step_audit.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	native_stabilizer_results.md	1	0	269f3d4dfbc51aa1cddc7d93a14843228115dacb2fb8782fcdf4668a61e1ae1c
legacy/root_oneoffs_2026-07-01/native_scalar_spectrum.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	negative_phi_native_geometry.md	1	0	b400da0775048c932767cf967d9ebd7f66120c5a82463d353fb43f1d9ad6489d
legacy/root_oneoffs_2026-07-01/native_sector_weight_spectral_probe.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	particle_spectrum_native_geometry.md	1	0	161568ef415e5590b672f82438cc743c533e067ad857fa94359cab562d2a7daa
legacy/root_oneoffs_2026-07-01/native_source_share_boundary_identity_audit.py	RUNTIME_OR_MANIFEST_IMMUTABLE	4	4	negative_phi_native_geometry.md	4	0	46b2d45f0d9bfd7db7e34fc9572304b737876eef3a7075776f4570e487fa4fad
legacy/root_oneoffs_2026-07-01/native_symmetric_pair_reduction.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	weld_two_sided_results.md	1	0	20aa614049994a6af3735985b3ba000b694a8483ee700256329fa52dd21321b5
legacy/root_oneoffs_2026-07-01/native_tier_d_round2_test.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	STATE.md;dimension_ladder_null_audit.md	2	0	fbc442fc085dd1be3c223341c471f7c059ed5f05e188ae942ca6d4b74ade495e
legacy/root_oneoffs_2026-07-01/native_weld_interface_mode_spectrum.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	CLAUDE.md;weld_status_results.md	2	0	0a635d2b761a67ec7224617368f511bbd2c25ef1d2356c4834a45b48ffa418ad
legacy/root_oneoffs_2026-07-01/native_weld_macro_discriminator.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	weld_status_results.md	1	0	9e7a5f3a869c6a9c79282e39bb84633b029876fddf8a42fd9959a5af0e6839be
legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	RUNTIME_OR_MANIFEST_IMMUTABLE	7	7	AUDIT.md;CLAUDE.md	7	0	643ee5fef879e400900cd0bf2cbb07f3887e1c9ea60d4cde815c0236579b89df
legacy/root_oneoffs_2026-07-01/ns_scan_core.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	HANDOFF.md;nonstationary_opener_results.md	2	0	2d021cfd5c0730cf1953c5b147483613b68b8d933c403281971d8f12384d63bd
legacy/root_oneoffs_2026-07-01/ns_scan_evolve.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	nonstationary_opener_results.md	1	0	976f7cffafb9f1003fe79eabd10fdbb96013ca9b685c2efe59b2f72e23aa2ac5
legacy/root_oneoffs_2026-07-01/ns_scan_fork.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	nonstationary_opener_results.md	1	0	adda8327b629feb3255136806d5bdd2a4b2ff819570cd534fcb4bc6573664659
legacy/root_oneoffs_2026-07-01/null_test_dimension_ladder.py	RUNTIME_OR_MANIFEST_IMMUTABLE	3	3	legacy_hadron_survivor_filter.md;particle_spectrum_native_geometry.md	3	0	e22c40e9296ecbce1bbeb7807dfe28a10c67ab49383356e97f0ef7ed8aa08b65
legacy/root_oneoffs_2026-07-01/offdiagIII_converge.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	43609ddb8be8e4ee8c5f86bfee2ca1270050878ffd563cf1ae57ae7096d71ff7
legacy/root_oneoffs_2026-07-01/offdiag_gateB_character.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	angular_completeness_results.md	1	0	18c94bf39accfd9476cfae1f7987fd1363bd8b57e53cc33fc061d64d9c345fed
legacy/root_oneoffs_2026-07-01/p3_aphi_matter.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	udt_field_equations_derivation_results.md	1	0	96a77188892e3d61c446507c20f789ebad3e92fe825edb7fc9648d07c8113ade
legacy/root_oneoffs_2026-07-01/p3fix_aphi_ruler.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	p3_VERIFIER.md	2	0	345d5268006fb54011490fdc7a8d9fe9eb1d55b889540beb5385a9540ac22ca0
legacy/root_oneoffs_2026-07-01/particles_verifier_test_b.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	dimension_ladder_null_audit.md	1	0	2a8b01ceedaefa92ef17321aedd28da439ae05bc58ea8f091e1a96af19e35d6f
legacy/root_oneoffs_2026-07-01/phase2b_cross_and_box.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	phase2b_ensemble_results.md	1	0	cae3220217ab7b90fd12d11f785e25d671bd686d06ee82c390185e0f0a367951
legacy/root_oneoffs_2026-07-01/running_rate_bianchi_absorb.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	udt_field_equations_derivation_results.md	1	0	78257a495f8091633488ca3a431bc134f79e0f68d7a94f2b21feb62aff911976
legacy/root_oneoffs_2026-07-01/sf_scan_symcheck.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	angular_completeness_results.md	1	0	38de76d19d7558d5a4f345319780e79c882985f86c94edd95722373760c3c58e
legacy/root_oneoffs_2026-07-01/step0_bridge.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	udt_canonical_geometry.md	1	0	7b4bcf89ddebc0869409ee73a69b5185504b57936518a71195648ba3dcf9ae81
legacy/root_oneoffs_2026-07-01/topo_classes_zoo.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	70a13c01479f6c4d6cc2ef2e2dc617687487266d342f6e3fba0e6f062e8818f9
legacy/root_oneoffs_2026-07-01/topo_doubling_fork.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	CANON.md;CLAUDE.md	2	0	bdabc4637fa1387edc961aa07ca6157ca6d588df2bbf85439f2046ca27caa58a
legacy/root_oneoffs_2026-07-01/w2_arm1_line1_transport_loop.py	RUNTIME_OR_MANIFEST_IMMUTABLE	4	4	negative_phi_native_geometry.md;nonstationary_opener_results.md;udt_canonical_geometry.md	4	0	cdf90015c66889a812e991d1c0ae7265e1a31ab5896f9a7cc07d66a3fe9b0649
legacy/root_oneoffs_2026-07-01/w2_arm1_line2_tie_depth.py	RUNTIME_OR_MANIFEST_IMMUTABLE	3	3	negative_phi_native_geometry.md;udt_canonical_geometry.md	3	0	d6d83d2f7fd5673a0021d2e46ed902d142f5c62653c5e0c2a94cc8c87581643d
legacy/root_oneoffs_2026-07-01/w2_arm1_line3_square_origin.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	nonstationary_opener_results.md	1	0	2ce5b7ea7167e5d31d2187b44025fdcdc145ee9ccd392f17225a61502f1c62d6
legacy/root_oneoffs_2026-07-01/w2_arm1_line4_secondjet_census.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	udt_canonical_geometry.md	2	0	6cd28176976a54c77000b222da2e6e0e8c972870c2dfabb4f09c00bb875a4809
legacy/root_oneoffs_2026-07-01/w3_dressed_spectra.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	fa9f25bd78819c71513fe8b4204cbf3b074eefca869cd00cdf665323770d77d7
legacy/root_oneoffs_2026-07-01/w3_locus_maps.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	pde_p1_results.md	1	0	3b787a8c2f81cb7905ec4d5e37629f6fbfe8869433dd607c8a5562a81c7f6485
legacy/root_oneoffs_2026-07-01/w4a_p1_existence.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	8d1a7c5b99db04376a7830eb0ade635121ef0dbd3594a58313bfccd424d9a769
legacy/root_oneoffs_2026-07-01/w4a_p2_spectra.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	ff95675322c9b99b27d5c54979d112296f0d44c6d3ef1042ddc2446136faf219
legacy/root_oneoffs_2026-07-01/w4b_evolib.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	c33074bce87517bebff7c2e2c4c20c870ebdb4a8a84b443d907c45476fc3b8f3
legacy/root_oneoffs_2026-07-01/w5_arm2_lib.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	CLAUDE.md	1	0	e0206c5f2a3fc2012fc7a7d987f668204d01c1e9e28a0c37aec67a4f3d001016
legacy/root_oneoffs_2026-07-01/w5_arm2_verifier2_units.py	RUNTIME_OR_MANIFEST_IMMUTABLE	2	2	w4_results.md	2	0	54b548fc475afdaf0b067b85555e16d778020066d4ae61bf843a827b289789ee
legacy/root_oneoffs_2026-07-01/w6_flux_phase0.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w_alg_results.md	1	0	83e14f48fbca129b193218e39d6fda0c2b5a7236137c3a2a88c223d49ac1435b
legacy/root_oneoffs_2026-07-01/w7_b_pt_spectrum.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w_alg_results.md	1	0	a4ab9552ab770b08066ebe3a5e3a3a575bf8b2ef0bd8742ffa9b07b7420d2f0a
legacy/root_oneoffs_2026-07-01/w8b_qstar.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w6_results.md	1	0	011028ad4018c50f302e62a9163e5cb6df06aeea2ca4e25c1aabcc7e64a264cc
legacy/root_oneoffs_2026-07-01/w_alg_closure.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w5_results.md	1	0	12fd567ef935422909d9f9a763cf7111e29b8d7560a0de189bc07d7f1833c143
legacy/root_oneoffs_2026-07-01/w_stiffness_routeA_enlarged_class.py	RUNTIME_OR_MANIFEST_IMMUTABLE	4	4	angular_completeness_results.md;negative_phi_native_geometry.md;pde_p1_results.md	4	0	686bf336e91c51d45bd92e95a5896bfdca2eee27d877485fbafbf445e6e47423
legacy/root_oneoffs_2026-07-01/w_stiffness_routeB_forced_completion.py	RUNTIME_OR_MANIFEST_IMMUTABLE	5	5	measure_fork_results.md;pde_p1_results.md	5	0	277b0d10e087ff0cc1f3066b9dcdbf9d4dd364c9620b643850c8dfe1a9d28f18
legacy/root_oneoffs_2026-07-01/w_stiffness_routeC_sector_audit.py	RUNTIME_OR_MANIFEST_IMMUTABLE	11	11	measure_fork_results.md;n_derivation_results.md;nonstationary_opener_results.md;pde_p1_results.md;sourced_second_jet_results.md	11	0	936f9b5acf2b77146469acd9fb0f943ccebd9b1a31a185a0e3e2bd2af038691c
legacy/root_oneoffs_2026-07-01/w_stiffness_routeC_verifier2.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w_stiffness_results.md	1	0	944b418e9c7965f04a19e15b4a6afa7d609baaeb580ff43accc03389bd4f154f
legacy/root_oneoffs_2026-07-01/w_whole_gm_derive.py	RUNTIME_OR_MANIFEST_IMMUTABLE	1	1	w_whole_results.md	1	0	c74f3abdce82b3c07a6297c940e2cce597332dba04d90151af58e4f0b2376670
legacy_hadron_survivor_filter.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	7	7	mass_emergence_canonical_geometry.md;negative_phi_native_geometry.md;particle_spectrum_native_geometry.md;udt_canonical_geometry.md	7	0	ebb7d7d84ff1bcbd43c0ade99422f6fd32cd4703a5b82a85330efd29befff706
lepton_ladder_falsification_contract.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	dimension_ladder_null_audit.md	1	0	ff975218deca7071d1f82f76ab3dac54e0c752a8e921ecc337205fae49c605d0
luminosity_distance_n2_optics_results.md	HARD_FROZEN_SOURCE	3	3	udt_canonical_geometry.md	3	0	e0edaebac1fcc3efa22312a5e5dd2a9110807bdf0b4002f1ed961df84d1328f7
macro_Q1_source_posture.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md	2	0	ec66762c2a956cf50b152cd4783118029a7a5fac72ff030ba869e037ef5ea926
macro_clean_core_first_observe_CONTRACT.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	LIVE.md	1	0	873399e7da9652a6f701eb714f7aea7a03c4f174a8e31d4abe13c22c655e3cb0
macro_phase1_metric_only.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	relativistic_metric_rederivation_results.md	1	0	9275d494249bf8170773f0bd041d0cde6f83066bd6c2f30075b54f5420b010b3
macro_phi_blindness_reaudit.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	LIVE.md	1	0	1e50bd3e1da5e3a376a5dbfb3a72489f6263f5409940c71fde83bb88e7d96041
macro_spine_provenance_2026-07-06.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	AUDIT.md;native_dilation_weight_derivation_results.md	4	0	60d3ccc0611c9eec163fbef03dc9c9823fc24c8116706d26d6b654a928080e03
macro_universe_clean_core_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md	2	0	73b13c9e0cc2530761a98724f83dd01f57e2b5c19bfc7da7eaf5c280fed08d72
macro_universe_native_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CANON.md;F5_critical_universe_closure_results.md	3	0	2830720410f92b2dfb3b7daf20804567aa19f604cbccb4d32651832b5d139cb9
mass_emergence_canonical_geometry.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	mass_emergence_canonical_geometry.md;udt_canonical_geometry.md	2	0	e217a91b067f2c8356c34067e9e3e2d3d0cd7c8064a639ca17921165b67993f6
matter_amplitude_native_MAP_2026-06-29.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	F2_matter_action_forcedness_results.md;angular_lagrangian_results.md;native_dilation_weight_derivation_results.md;negative_phi_native_geometry.md;winding_amplitude_gauge_derivation_results.md	6	0	dcec8d8d10ab90f049b91e23bb74aa0d4f6a973be2184e6458b8dda1cdc7606c
matter_carrier_provenance_audit_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CANON.md;F2_matter_action_forcedness_results.md	3	0	1ab8731bde54a5966a0cc8b7c9c859647efde22f54ff6923b972fb7d9d59635d
matter_filled_background_closure_DESIGN.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	LIVE.md	1	0	279ca513e04e40b58eab0054a0c5e9c1dc14c5747db0bc93f503e205a561b51f
matter_regrade_derived_operator_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;MATTER_SECTOR_MAP_new_foundation.md;angular_lagrangian_results.md;native_dilation_weight_derivation_results.md;scale_symmetry_bootstrap_analysis_results.md	6	0	3036d3950cafabd07fdcbe9cc4edff877c89e743fae5b398728bb780ac79f058
microphysics_after_concentric_failure_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CANON.md	1	0	b2b6cf44adc1a25b7166f6294055f275a01d57b9a488592637a59537f71baebf
microphysics_reentry_omega_reframe_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	10	10	CANON.md;F2_matter_action_forcedness_results.md;native_dilation_weight_derivation_results.md;phase2a_rotation_results.md;seal_junction_condition_results.md	10	0	f5c443e9ed22c1101621f1f9d7eb184edf0378788f771fef2480dd988069af85
n5d_pilot_stage1_results.md	HARD_FROZEN_SOURCE	1	1	LIVE.md	1	0	6e777f3e5ea8ef93ea91f8736f052674fb76e5d3278311d322eeaaaa12f7eb23
n5d_stage2_Lselection_audit_results.md	HARD_FROZEN_SOURCE	1	1	NEGATIVES_REGISTRY.md	1	0	08b61b78a37825698e7d8d5ebc6ce67bfc981d3bdc34ebe739b550068e04e4d6
n5d_stage2_MS_boundary_selector_audit_results.md	HARD_FROZEN_SOURCE	1	1	CANON.md	1	0	13f5e24c1aa7b1fccd129b2ed54afec06154087f508f9da8d2d6e4a7654b14c4
n_derivation_results.md	HARD_FROZEN_SOURCE	2	2	sourced_second_jet_results.md	2	0	231895b649115c736ee20aca6daa7c759d6153e9ad62fbaa96a9a32afe3bd4cb
native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_SMUGGLE_LIST.tsv	HARD_FROZEN_SOURCE	1	1	udt_field_equations_derivation_results.md	0	1	074b59aa4f1b452858112db3abcbbedddca0f7b9633691fa7a5cf3f76d3805fe
