profile_id	lapse_name	lapse_a	shape_id	amplitude	q_of_s	max_abs_q	center_h_order_in_x	center_B_order_in_x	endpoint_q	behavior_class	center_status	signature_status	lapse_min	reflection_partner	physical_status
G75_A0_S15_E50	A0	0	S15	1/2	-s**2/2 - s/2 + 1/2	1/2	2	2	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S15_E50	AP	1/4	S15	1/2	-s**2/2 - s/2 + 1/2	1/2	2	2	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S15_E100	AM	-1/4	S15	1	-s**2 - s + 1	1	2	2	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S15_E100	A0	0	S15	1	-s**2 - s + 1	1	2	2	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S15_E100	AP	1/4	S15	1	-s**2 - s + 1	1	2	2	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S16_E05	AM	-1/4	S16	1/20	1/20 - s/20	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S16_E05	A0	0	S16	1/20	1/20 - s/20	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S16_E05	AP	1/4	S16	1/20	1/20 - s/20	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S16_E20	AM	-1/4	S16	1/5	1/5 - s/5	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S16_E20	A0	0	S16	1/5	1/5 - s/5	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S16_E20	AP	1/4	S16	1/5	1/5 - s/5	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S16_E50	AM	-1/4	S16	1/2	1/2 - s/2	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S16_E50	A0	0	S16	1/2	1/2 - s/2	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S16_E50	AP	1/4	S16	1/2	1/2 - s/2	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S16_E100	AM	-1/4	S16	1	1 - s	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S16_E100	A0	0	S16	1	1 - s	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S16_E100	AP	1/4	S16	1	1 - s	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S17_E05	AM	-1/4	S17	1/20	s**2/20 - s/20 + 1/20	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S17_E05	A0	0	S17	1/20	s**2/20 - s/20 + 1/20	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S17_E05	AP	1/4	S17	1/20	s**2/20 - s/20 + 1/20	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S17_E20	AM	-1/4	S17	1/5	s**2/5 - s/5 + 1/5	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S17_E20	A0	0	S17	1/5	s**2/5 - s/5 + 1/5	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S17_E20	AP	1/4	S17	1/5	s**2/5 - s/5 + 1/5	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S17_E50	AM	-1/4	S17	1/2	s**2/2 - s/2 + 1/2	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S17_E50	A0	0	S17	1/2	s**2/2 - s/2 + 1/2	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S17_E50	AP	1/4	S17	1/2	s**2/2 - s/2 + 1/2	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S17_E100	AM	-1/4	S17	1	s**2 - s + 1	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S17_E100	A0	0	S17	1	s**2 - s + 1	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S17_E100	AP	1/4	S17	1	s**2 - s + 1	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S18_E05	AM	-1/4	S18	1/20	s**2/20 - s/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S18_E05	A0	0	S18	1/20	s**2/20 - s/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S18_E05	AP	1/4	S18	1/20	s**2/20 - s/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S18_E20	AM	-1/4	S18	1/5	s**2/5 - s/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S18_E20	A0	0	S18	1/5	s**2/5 - s/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S18_E20	AP	1/4	S18	1/5	s**2/5 - s/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S18_E50	AM	-1/4	S18	1/2	s**2/2 - s/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S18_E50	A0	0	S18	1/2	s**2/2 - s/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S18_E50	AP	1/4	S18	1/2	s**2/2 - s/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S18_E100	AM	-1/4	S18	1	s**2 - s/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S18_E100	A0	0	S18	1	s**2 - s/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S18_E100	AP	1/4	S18	1	s**2 - s/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S19_E05	AM	-1/4	S19	1/20	1/20 - s**2/10	1/20	2	2	-1/20	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S19_E05	A0	0	S19	1/20	1/20 - s**2/10	1/20	2	2	-1/20	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S19_E05	AP	1/4	S19	1/20	1/20 - s**2/10	1/20	2	2	-1/20	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S19_E20	AM	-1/4	S19	1/5	1/5 - 2*s**2/5	1/5	2	2	-1/5	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S19_E20	A0	0	S19	1/5	1/5 - 2*s**2/5	1/5	2	2	-1/5	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S19_E20	AP	1/4	S19	1/5	1/5 - 2*s**2/5	1/5	2	2	-1/5	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S19_E50	AM	-1/4	S19	1/2	1/2 - s**2	1/2	2	2	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S19_E50	A0	0	S19	1/2	1/2 - s**2	1/2	2	2	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S19_E50	AP	1/4	S19	1/2	1/2 - s**2	1/2	2	2	-1/2	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S19_E100	AM	-1/4	S19	1	1 - 2*s**2	1	2	2	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S19_E100	A0	0	S19	1	1 - 2*s**2	1	2	2	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S19_E100	AP	1/4	S19	1	1 - 2*s**2	1	2	2	-1	INTERIOR_SIGN_CHANGE	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S20_E05	AM	-1/4	S20	1/20	1/20 - s**2/20	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S20_E05	A0	0	S20	1/20	1/20 - s**2/20	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S20_E05	AP	1/4	S20	1/20	1/20 - s**2/20	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S20_E20	AM	-1/4	S20	1/5	1/5 - s**2/5	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S20_E20	A0	0	S20	1/5	1/5 - s**2/5	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S20_E20	AP	1/4	S20	1/5	1/5 - s**2/5	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S20_E50	AM	-1/4	S20	1/2	1/2 - s**2/2	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S20_E50	A0	0	S20	1/2	1/2 - s**2/2	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S20_E50	AP	1/4	S20	1/2	1/2 - s**2/2	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S20_E100	AM	-1/4	S20	1	1 - s**2	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S20_E100	A0	0	S20	1	1 - s**2	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S20_E100	AP	1/4	S20	1	1 - s**2	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S21_E05	AM	-1/4	S21	1/20	1/20	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S21_E05	A0	0	S21	1/20	1/20	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S21_E05	AP	1/4	S21	1/20	1/20	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S21_E20	AM	-1/4	S21	1/5	1/5	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S21_E20	A0	0	S21	1/5	1/5	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S21_E20	AP	1/4	S21	1/5	1/5	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S21_E50	AM	-1/4	S21	1/2	1/2	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S21_E50	A0	0	S21	1/2	1/2	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S21_E50	AP	1/4	S21	1/2	1/2	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S21_E100	AM	-1/4	S21	1	1	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S21_E100	A0	0	S21	1	1	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S21_E100	AP	1/4	S21	1	1	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S22_E05	AM	-1/4	S22	1/20	s**2/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S22_E05	A0	0	S22	1/20	s**2/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S22_E05	AP	1/4	S22	1/20	s**2/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S22_E20	AM	-1/4	S22	1/5	s**2/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S22_E20	A0	0	S22	1/5	s**2/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S22_E20	AP	1/4	S22	1/5	s**2/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S22_E50	AM	-1/4	S22	1/2	s**2/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S22_E50	A0	0	S22	1/2	s**2/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S22_E50	AP	1/4	S22	1/2	s**2/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S22_E100	AM	-1/4	S22	1	s**2/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S22_E100	A0	0	S22	1	s**2/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S22_E100	AP	1/4	S22	1	s**2/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
